"""Date"",""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"""Apr 13, 2018"",""311.65"",""317.29"",""317.49"",""308.23"",""12.05M"",""0.78%"""
"""Apr 12, 2018"",""309.25"",""309.72"",""311.13"",""306.75"",""10.25M"",""1.84%"""
"""Apr 11, 2018"",""303.67"",""302.88"",""311.64"",""301.82"",""14.88M"",""1.88%"""
"""Apr 10, 2018"",""298.07"",""297.68"",""298.95"",""291.69"",""10.72M"",""2.81%"""
"""Apr 09, 2018"",""289.93"",""291.77"",""299.55"",""289.12"",""9.85M"",""0.37%"""
"""Apr 06, 2018"",""288.85"",""289.10"",""298.85"",""285.65"",""11.44M"",""-1.74%"""
"""Apr 05, 2018"",""293.97"",""293.15"",""299.16"",""289.11"",""10.66M"",""1.74%"""
"""Apr 04, 2018"",""288.94"",""273.63"",""290.31"",""271.22"",""12.91M"",""1.86%"""
"""Apr 03, 2018"",""283.67"",""285.45"",""291.25"",""278.01"",""12.69M"",""1.21%"""
"""Apr 02, 2018"",""280.29"",""291.94"",""292.87"",""275.05"",""13.41M"",""-5.10%"""
"""Mar 29, 2018"",""295.35"",""287.00"",""295.35"",""275.90"",""19.15M"",""3.35%"""
"""Mar 28, 2018"",""285.77"",""298.39"",""298.80"",""281.61"",""18.97M"",""-4.96%"""
"""Mar 27, 2018"",""300.69"",""322.49"",""322.90"",""297.00"",""12.07M"",""-6.14%"""
"""Mar 26, 2018"",""320.35"",""309.36"",""321.03"",""302.00"",""11.99M"",""6.45%"""
"""Mar 23, 2018"",""300.94"",""307.41"",""310.73"",""300.36"",""9.53M"",""-1.88%"""
"""Mar 22, 2018"",""306.70"",""313.07"",""314.12"",""305.66"",""8.06M"",""-3.09%"""
"""Mar 21, 2018"",""316.48"",""316.35"",""319.40"",""314.51"",""5.26M"",""-0.32%"""
"""Mar 20, 2018"",""317.50"",""313.26"",""319.50"",""312.80"",""5.99M"",""1.28%"""
"""Mar 19, 2018"",""313.48"",""315.80"",""317.00"",""307.34"",""9.93M"",""-1.56%"""
"""Mar 16, 2018"",""318.45"",""321.42"",""324.11"",""318.37"",""7.33M"",""-0.82%"""
"""Mar 15, 2018"",""321.09"",""323.17"",""323.40"",""318.14"",""5.64M"",""-0.14%"""
"""Mar 14, 2018"",""321.55"",""318.16"",""323.88"",""317.70"",""10.48M"",""1.79%"""